scenario,agent_id,hour,vulnerability_score,age_bucket,cell_x,cell_y,raw_heat,effective_exposure,in_shelter,shelter_building_id
proactive,124,1,0.562529225395729,child,5,9,0.0,0.0,0,
proactive,125,1,0.8475195178808403,elderly,17,2,0.4614,0.4614,0,
proactive,126,1,0.5540215869676903,child,15,3,0.1697,0.1697,0,
proactive,127,1,0.766520446349269,elderly,10,9,0.0,0.0,0,
proactive,128,1,0.7416409671545062,elderly,16,9,0.0153,0.0153,0,
proactive,129,1,0.1865474786824886,adult,4,0,0.457,0.457,0,
proactive,130,1,0.5991072876975088,child,4,8,0.0,0.0,0,
proactive,131,1,0.6713434192845964,child,1,9,0.0,0.0,0,
proactive,132,1,0.26809246029419453,adult,14,3,0.1702,0.1702,0,
proactive,133,1,0.22890676933880374,adult,3,8,0.0,0.0,0,
proactive,134,1,0.21223556584054845,adult,10,5,0.5101,0.5101,0,
proactive,135,1,0.4871906993496808,child,10,4,0.3983,0.3983,0,
