hour_of_year,day,hour_of_day,hour_label,energy_consumed_wh,energy_consumed_kwh,average_power_kw,active_vehicles,active_vehicle_records
341,15,5,year hour 0341,68040.49,68.04049,68.04049,601.0,53095.0
342,15,6,year hour 0342,71032.18,71.03218,71.03218,607.0,53189.0
343,15,7,year hour 0343,68068.45,68.06845,68.06845,595.0,52165.0
344,15,8,year hour 0344,69069.68000000001,69.06968,69.06968,604.0,53833.0
345,15,9,year hour 0345,67953.64,67.95364,67.95364,604.0,52529.0
346,15,10,year hour 0346,67944.94,67.94494,67.94494,602.0,52535.0
347,15,11,year hour 0347,67802.9,67.8029,67.8029,588.0,52375.0
348,15,12,year hour 0348,81722.33,81.72233000000001,81.72233000000001,620.0,54880.0
349,15,13,year hour 0349,67952.15,67.95214999999999,67.95214999999999,600.0,52484.0
350,15,14,year hour 0350,67660.66,67.66066000000001,67.66066000000001,601.0,53191.0
351,15,15,year hour 0351,68569.25,68.56924999999998,68.56924999999998,595.0,52507.0
